ds,yhat,yhat_lower,yhat_upper,raw_data,status
2023-04-06 21:22:00,8340399.245830795,1354473.4077673196,14937305.0794353,14770749.15,normal
2023-04-06 21:24:00,8529149.271400232,1668900.3970313095,15446951.150669644,17579820.95,too high
2023-04-06 21:26:00,8661481.867510587,1751535.9511157223,15869433.38600409,18981827.28,too high
2023-04-06 21:28:00,8727206.356779827,1844916.3259348,15687237.688526418,20147438.62,too high
2023-04-06 21:30:00,8720293.844694609,2030381.7858322016,15933711.755263267,18872123.47,too high
2023-04-06 21:32:00,8639427.350281376,1381132.9827257558,16012567.636802066,19019717.13,too high
2023-04-06 21:34:00,8488212.550863251,1184818.2319713414,15282904.637188911,20275803.05,too high
2023-04-06 21:36:00,8275013.722591879,1723119.3080355483,15550635.3165957,19975638.12,too high
2023-04-06 21:38:00,8012408.321519026,543402.8962265464,14640282.512801738,19479116.33,too high
2023-04-06 21:40:00,7716285.614394961,484662.2915073978,14984011.03934628,18790374.13,too high
2023-04-06 21:42:00,7404647.196177479,499424.6939202671,14606084.933403865,18543768.8,too high
2023-04-06 21:44:00,7096196.974346875,52588.73679981906,14266975.564556325,16707976.8,too high
2023-04-06 21:46:00,6808832.249659989,0.0,13634767.916960005,4133461.35,normal
2023-04-06 21:48:00,6558162.940791466,0.0,13787813.377218366,4809333.983,normal
2023-04-06 21:50:00,6356190.640936747,0.0,13508380.349323424,4758718.302,normal
2023-04-06 21:52:00,6210271.661574532,0.0,13836032.505998664,4070858.967,normal
2023-04-06 21:54:00,6122468.487408498,0.0,13229594.033276487,4363229.967,normal
2023-04-06 21:56:00,6089363.09894079,0.0,13147643.861823415,4351963.2,normal
2023-04-06 21:58:00,6102365.837284958,0.0,13822143.397043671,4401973.083,normal
2023-04-06 22:00:00,6148508.305753513,0.0,12688149.906086992,4522503.433,normal
2023-04-06 22:02:00,6211662.383776112,0.0,13379828.985023957,3441879.367,normal
2023-04-06 22:04:00,6274084.403913357,0.0,13946412.695858931,3577499.467,normal
2023-04-06 22:06:00,6318148.3947925065,0.0,13218076.09658414,4166582.267,normal
2023-04-06 22:08:00,6328108.947692554,0.0,13069969.140869023,3788116.667,normal
2023-04-06 22:10:00,6291725.651882233,0.0,13156903.235176433,3597190.7,normal
2023-04-06 22:12:00,6201588.629078012,0.0,12831936.921641652,4305729.35,normal
2023-04-06 22:14:00,6056008.476511247,0.0,13251000.31342443,3496596.767,normal
2023-04-06 22:16:00,5859371.994895167,0.0,12427783.411649186,3728960.1,normal
2023-04-06 22:18:00,5621914.229727805,0.0,13019824.904970232,3933322.483,normal
2023-04-06 22:20:00,5358912.889812122,0.0,12349528.756875137,3568559.85,normal
2023-04-06 22:22:00,5089367.783278539,0.0,11792577.407075375,3239349.617,normal
2023-04-06 22:24:00,4834279.744938648,0.0,11997919.664277405,3541255.817,normal
2023-04-06 22:26:00,4614685.364483898,0.0,11392543.900870066,3263875.183,normal
2023-04-06 22:28:00,4449631.046416436,0.0,11453445.135985827,3975380.9,normal
2023-04-06 22:30:00,4354279.6250924505,0.0,11060623.74310953,3890512.1,normal
2023-04-06 22:32:00,4338333.413575472,0.0,11562345.56805733,3071097.1,normal
2023-04-06 22:34:00,4404929.978714856,0.0,10926165.173101395,3620940.833,normal
2023-04-06 22:36:00,4550123.476071358,0.0,12042121.815470662,4440871.237,normal
2023-04-06 22:38:00,4763009.306689258,0.0,11668508.726386072,3397163.233,normal
2023-04-06 22:40:00,5026488.5489666965,0.0,12277522.307655072,3324388.4,normal
2023-04-06 22:42:00,5318607.270104504,0.0,12264889.935047142,2929884.55,normal
2023-04-06 22:44:00,5614350.50318087,0.0,12337050.575697009,3179495.433,normal
2023-04-06 22:46:00,5887727.069610408,0.0,12754710.420963362,3134499.3,normal
2023-04-06 22:48:00,6113953.815740157,0.0,13403214.966359632,3468296.467,normal
2023-04-06 22:50:00,6271539.06133124,0.0,13384881.172417816,3170707.65,normal
2023-04-06 22:52:00,6344075.781029679,0.0,13374546.21728864,3448298.05,normal
2023-04-06 22:54:00,6321584.146167703,0.0,13435234.192787625,3327911.033,normal
2023-04-06 22:56:00,6201287.35284572,0.0,13656463.333968798,2667366.75,normal
2023-04-06 22:58:00,5987759.546305839,0.0,13541981.23669717,3125080.333,normal
2023-04-06 23:00:00,5692444.413232004,0.0,12906914.96047908,3108926.55,normal
2023-04-06 23:02:00,5332601.590252044,0.0,12641661.908569658,2528090.067,normal
2023-04-06 23:04:00,4929789.600270056,0.0,11555073.400894132,3368187.7,normal
2023-04-06 23:06:00,4508033.499902883,0.0,12037448.962908592,2835118.133,normal
2023-04-06 23:08:00,4091849.351942051,0.0,10724542.267163685,2897809.167,normal
2023-04-06 23:10:00,3704303.9857048113,0.0,11180487.86462608,2625389.05,normal
2023-04-06 23:12:00,3365277.4152471544,0.0,10157479.997819206,2780146.233,normal
2023-04-06 23:14:00,3090068.49705947,0.0,10371956.414554,3018441.217,normal
2023-04-06 23:16:00,2888445.4521904625,0.0,10218546.65328554,2993058.483,normal
2023-04-06 23:18:00,2764196.216820612,0.0,9781163.537019886,2273472.85,normal
2023-04-06 23:20:00,2715184.4971145126,0.0,9440224.147023316,1950588.05,normal
2023-04-06 23:22:00,2733870.984334184,0.0,9443498.73809969,2810093.717,normal
2023-04-06 23:24:00,2808220.1322269114,0.0,10078137.113128886,2718902.533,normal
2023-04-06 23:26:00,2922884.702342635,0.0,9793092.182217892,2374986.8,normal
2023-04-06 23:28:00,3060545.1175018167,0.0,10434165.176039008,2227903.067,normal
