ds,yhat,yhat_lower,yhat_upper,raw_data,status
2023-04-06 21:14:00,2879167.903076217,2220644.1608984624,3566649.8929817923,2798977.4,normal
2023-04-06 21:16:00,2868842.8507198105,2262926.455153744,3517215.827883041,2587285.25,normal
2023-04-06 21:18:00,2859662.227262501,2188043.0568724964,3555318.7210951867,2414426.133,normal
2023-04-06 21:20:00,2851727.568185725,2191818.8699900503,3475773.0862176875,2261991.117,normal
2023-04-06 21:22:00,2845118.122153016,2181990.415642327,3486576.274233538,2747810.883,normal
2023-04-06 21:24:00,2839880.527509524,2198392.957152897,3440996.6171279503,2758134.608,normal
2023-04-06 21:26:00,2836017.3838908672,2177326.276097872,3476739.7894401243,2775924.317,normal
2023-04-06 21:28:00,2833476.385727794,2179625.505047861,3453133.5319169094,2396018.917,normal
2023-04-06 21:30:00,2832141.833507456,2172217.431198516,3477376.348456264,2480547.367,normal
2023-04-06 21:32:00,2831830.2223725915,2180869.034739579,3497151.990737367,2733192.238,normal
2023-04-06 21:34:00,2832291.237524668,2203045.977618376,3479382.939997223,2477271.05,normal
2023-04-06 21:36:00,2833214.9048862103,2218734.2610459435,3478003.450316329,2419716.117,normal
2023-04-06 21:38:00,2834244.925341392,2209563.9153205995,3522773.536136956,2360828.4,normal
2023-04-06 21:40:00,2834997.4574287385,2208901.603134533,3456147.3576516127,2682431.45,normal
2023-04-06 21:42:00,2835083.905115052,2232010.675249046,3506819.803237643,2435266.05,normal
2023-04-06 21:44:00,2834135.7024663263,2186404.1241986724,3455331.973582505,2385408.833,normal
2023-04-06 21:46:00,2831828.7527536065,2157475.677554196,3468479.333352495,2729045.933,normal
2023-04-06 21:48:00,2827905.109260496,2185080.1864194856,3401789.215065419,2549728.767,normal
2023-04-06 21:50:00,2822189.70312827,2118375.453975141,3458082.7605655,2753450.183,normal
2023-04-06 21:52:00,2814600.399960593,2150563.9602156244,3441045.792698019,2700164.35,normal
2023-04-06 21:54:00,2805150.3504410256,2190074.803018217,3425163.125959005,2517651.9,normal
2023-04-06 21:56:00,2793942.408133704,2136072.1646338245,3443868.655636207,2179334.9,normal
2023-04-06 21:58:00,2781156.220799642,2132237.336421072,3439356.862804916,2410399.717,normal
2023-04-06 22:00:00,2767029.3668679846,2133449.47580048,3442554.412147176,2400126.967,normal
2023-04-06 22:02:00,2751834.507774587,2070567.4052438915,3350248.646133474,2685807.267,normal
2023-04-06 22:04:00,2735854.896031102,2106179.5015489818,3360765.391644265,2648115.95,normal
2023-04-06 22:06:00,2719360.676611191,2040435.3481012487,3369233.0476257536,2549858.883,normal
2023-04-06 22:08:00,2702588.236953729,1988929.382446778,3355529.138283918,2118805.517,normal
2023-04-06 22:10:00,2685724.431582277,2071353.60393092,3427733.309661813,2554901.35,normal
2023-04-06 22:12:00,2668896.882878513,1982349.46256938,3362837.930909303,2540096.083,normal
2023-04-06 22:14:00,2652170.827626097,2035321.623010337,3257620.431332569,2513994.083,normal
2023-04-06 22:16:00,2635552.2270517293,1947122.1202579755,3280226.335826728,2608025.4,normal
2023-04-06 22:18:00,2618996.180670064,1964390.256638368,3246701.011749592,2010384.117,normal
2023-04-06 22:20:00,2602419.163036979,1899721.761561897,3254507.4424090893,2474532.85,normal
2023-04-06 22:22:00,2585713.292491044,1899718.3594257496,3240957.355478896,2462384.317,normal
2023-04-06 22:24:00,2568760.7749203537,1926688.968244242,3173789.334232668,2156565.925,normal
2023-04-06 22:26:00,2551446.8393813563,1898089.677699742,3170090.3941389206,1735793.933,too low
2023-04-06 22:28:00,2533669.857649422,1885788.3151854165,3131453.9140645983,2293323.8,normal
2023-04-06 22:30:00,2515347.867280876,1845170.34826676,3159321.949383229,2445362.4,normal
2023-04-06 22:32:00,2496421.3019632297,1853216.3301827644,3182074.412188615,1841902.65,too low
2023-04-06 22:34:00,2476852.308299398,1837409.4053429384,3110237.831632416,2424676.667,normal
2023-04-06 22:36:00,2456621.5010764506,1837890.3705992715,3128865.3570575416,2261854.817,normal
2023-04-06 22:38:00,2435723.321140026,1775815.7140880136,3120929.5441885195,1756020.617,too low
2023-04-06 22:40:00,2414161.2708791955,1796093.6144585242,3087856.914690521,2522513.083,normal
2023-04-06 22:42:00,2391944.200052029,1740988.378684585,3038816.135674417,1936870.333,normal
2023-04-06 22:44:00,2369084.5225440785,1759339.8933109697,3009280.691395883,2222761.982,normal
2023-04-06 22:46:00,2345598.805777274,1668410.95972289,3009091.833573246,2494424.783,normal
2023-04-06 22:48:00,2321510.665068529,1699004.5384727423,2910760.9106126865,1517781.333,too low
2023-04-06 22:50:00,2296855.388067137,1632708.201678509,2997418.23029167,2445353.717,normal
2023-04-06 22:52:00,2271685.296269904,1644560.252737922,2891225.50083978,1595276.85,too low
2023-04-06 22:54:00,2246074.5875399346,1660729.6674968682,2894515.9043865004,2179829.833,normal
2023-04-06 22:56:00,2220122.341980414,1557582.688832571,2891370.613542318,1880642.05,normal
2023-04-06 22:58:00,2193952.534147755,1572952.5541457185,2863857.2449967903,1902533.9,normal
2023-04-06 23:00:00,2167710.262846619,1496978.7127816633,2787723.9317103405,1379754.55,too low
2023-04-06 23:02:00,2141553.943232812,1474903.4101975749,2749023.3316678144,1618996.983,normal
2023-04-06 23:04:00,2115643.8272717725,1460818.8427382903,2753341.656847168,1523085.2,normal
2023-04-06 23:06:00,2090127.8497933715,1502410.3935710315,2711740.34759828,1578862.8,normal
2023-04-06 23:08:00,2065126.342307937,1414383.5232251068,2699792.5463021514,1495399.833,normal
2023-04-06 23:10:00,2040717.521374281,1406613.407467866,2678390.480523875,1870839.383,normal
2023-04-06 23:12:00,2016925.796006028,1340392.116434354,2638097.311101161,2054889.767,normal
2023-04-06 23:14:00,1993714.7904354264,1358062.6601760956,2595454.1724488256,1741957.167,normal
2023-04-06 23:16:00,1970986.5653216303,1323729.8480302712,2603105.7197644,1717918.133,normal
2023-04-06 23:18:00,1948587.8561996408,1324769.290155653,2617830.8847708586,1191204.183,too low
2023-04-06 23:20:00,1926323.32871102,1251932.676253329,2563750.8054356994,1621489.4,normal
2023-04-06 23:22:00,1903974.9512334247,1276226.6020610095,2567731.252341473,1641287.883,normal
2023-04-06 23:24:00,1881325.730451792,1253521.4153429535,2561125.9000455835,1966960.5,normal
2023-04-06 23:26:00,1858185.3613573527,1287703.621203041,2475043.8732180703,1195193.317,too low
2023-04-06 23:28:00,1834414.8991337768,1196910.8790975169,2481279.8410249124,1402410.267,normal
2023-04-06 23:30:00,1809947.4508013108,1162562.570424488,2515071.2836704934,1613502.033,normal
2023-04-06 23:32:00,1784802.13465361,1152075.6554085438,2442077.1331662377,1789876.85,normal
2023-04-06 23:34:00,1759089.1685084652,1199429.362648163,2332920.5300238323,1869625.2,normal
2023-04-06 23:36:00,1733004.854572593,1091625.964941082,2341861.592115514,1070570.467,too low
2023-04-06 23:38:00,1706816.3503823627,1061450.715399062,2310595.201125602,1367457.867,normal
2023-04-06 23:40:00,1680837.3163610909,985543.6409156934,2299834.7916047885,1858871.633,normal
2023-04-06 23:42:00,1655396.6729725532,970099.0779404676,2299457.9652108443,1858257.55,normal
2023-04-06 23:44:00,1630803.647308649,992419.4062962892,2323657.209443446,1729048.933,normal
2023-04-06 23:46:00,1607312.906116078,970774.6318921804,2250632.1539000124,1154778.417,normal
2023-04-06 23:48:00,1585093.78398272,940361.9540229784,2225622.289442462,1170666.867,normal
2023-04-06 23:50:00,1564207.359878515,921028.2334409984,2232342.8297689394,1523550.6,normal
2023-04-06 23:52:00,1544594.4375647467,941449.0875584502,2214389.875953865,1638089.35,normal
2023-04-06 23:54:00,1526076.3868775065,856620.550578055,2163687.296274809,1030813.083,normal
2023-04-06 23:56:00,1508369.439783735,867095.8860169472,2118658.12793302,1719450.033,normal
2023-04-06 23:58:00,1491111.5247680806,852503.4240317021,2113242.081914851,1784233.05,normal
2023-04-07 00:00:00,1473899.2620201514,839817.2699234572,2129974.711576008,1270674.817,normal
2023-04-07 00:02:00,1456331.480438775,783009.1412190584,2085020.6600831265,746318.8167,too low
2023-04-07 00:04:00,1438054.720832695,806505.8208866912,2077190.1680758947,659549.95,too low
2023-04-07 00:06:00,1418805.768986521,771264.0827690243,2113574.4785499307,920650.85,normal
2023-04-07 00:08:00,1398446.3834007017,760295.0186882463,2050703.176169776,857864.2667,normal
