ds,yhat,yhat_lower,yhat_upper,raw_data,status
2023-04-07 09:25:00,174072.66769907152,117411.38661054974,237052.29658454083,242378.3063,too high
2023-04-07 10:55:00,358244.686449667,303082.73122944194,411731.1755508542,448722.0241,too high
2023-04-07 11:03:00,364464.21464581136,311770.1613779024,417227.0064852292,442334.5448,too high
2023-04-07 11:09:00,369932.4616159445,314200.4734347196,424026.9225469879,447316.5517,too high
2023-04-07 11:13:00,372173.20326096594,320085.73518681386,425298.5404618188,464810.3833,too high
2023-04-07 11:21:00,371665.11687619647,314094.3910552832,428034.4487846244,313327.3891,too low
2023-04-07 11:25:00,369812.4260670748,319300.65945369744,426624.3121075647,437424.2854,too high
2023-04-07 11:29:00,367955.8602378427,314023.82826158946,421512.2213328742,436095.6833,too high
2023-04-07 11:31:00,367211.8470139272,309409.5679420948,422201.202503519,427324.1026,too high
2023-04-07 11:35:00,366155.22878072027,308442.3603143786,419531.1183944485,445137.85,too high
2023-04-07 11:57:00,340788.0653151175,281787.1596839798,395075.945692512,399443.0869,too high
2023-04-07 12:23:00,276796.8237116744,221647.1368366128,332055.53252708295,334865.8333,too high
2023-04-07 12:45:00,260510.8912258804,203546.2786562176,316939.7066291703,317647.0784,too high
2023-04-07 12:53:00,256083.5253064868,206400.3925316268,314210.9387938981,339837.8167,too high
2023-04-07 12:57:00,252662.97240443324,196207.38786736276,300810.6461679916,319713.8333,too high
2023-04-07 13:13:00,239261.0637708555,183200.52258899008,290967.8451546033,294080.9671,too high
2023-04-07 13:15:00,239243.8587328483,183954.6335423243,295547.3328713669,177190.4437,too low
2023-04-07 13:45:00,273912.7333794332,220927.3680967682,327317.38912904006,347697.4202,too high
2023-04-07 13:49:00,279077.6385981984,223631.25337249305,334471.0857037483,353253.9124,too high
2023-04-07 14:09:00,308735.54773551883,255072.76549710505,366892.8029729738,371545.7969,too high
2023-04-07 14:21:00,324260.4825752662,272113.2753716694,374301.8557579484,404293.4322,too high
2023-04-07 14:47:00,363071.9411935413,306794.8990051256,420281.2370695445,424729.7901,too high
2023-04-07 14:55:00,362838.1069526594,307527.0712819677,415790.7813975623,426492.7918,too high
2023-04-07 15:01:00,364492.5829932655,309111.13916899875,419529.4744145324,289954.1878,too low
2023-04-07 15:41:00,372641.8164029931,322018.0405980901,427293.6272624466,438239.0373,too high
2023-04-07 15:49:00,379704.5279694082,326234.63786757825,432864.4728127963,315654.091,too low
2023-04-07 15:55:00,382421.26731961686,326663.0594991413,439389.37548577815,320157.807,too low
2023-04-07 16:03:00,374463.4073451622,322422.8369920694,429300.5009035331,468176.6333,too high
2023-04-07 16:47:00,332588.8819066803,277359.66092693515,386747.0515495967,396932.2401,too high
2023-04-07 17:01:00,319829.56902952096,268457.4144220807,372342.75981603656,265927.4988,too low
2023-04-07 17:39:00,269820.94849042443,216129.16234623225,322138.8918186246,338923.6846,too high
2023-04-07 18:11:00,220305.45677675217,164749.65241644406,274945.74761799886,159377.9667,too low
2023-04-07 18:49:00,176010.78833097866,119922.06268679108,226896.1394677937,311117.5323,too high
2023-04-07 19:31:00,133044.3805056815,79187.70604390961,185570.66221720944,76141.13078,too low
2023-04-07 19:57:00,154787.81696863548,101708.36089776586,209012.02332924344,81147.90563,too low
2023-04-07 19:59:00,185063.90524087255,131232.39902877746,236871.0353296236,90176.06667,too low
2023-04-07 20:01:00,217875.3384787032,160487.3508999667,274531.07117394154,89149.1,too low
2023-04-07 20:03:00,251388.5342437717,197995.51205284087,305507.61875766923,392345.6942,too high
2023-04-07 20:05:00,283597.65152097633,228707.40262068275,341685.9824917035,409047.496,too high
2023-04-07 20:15:00,362176.9329722267,310291.3126219318,416168.0581528124,298133.5333,too low
2023-04-07 20:23:00,283924.0323959917,230724.6650254967,337401.2935511816,404855.7191,too high
2023-04-07 20:25:00,250649.4405616498,194351.42911371076,303148.46111785463,331574.004,too high
2023-04-07 20:29:00,180625.53169467172,126379.62258970916,239035.4856813915,77498.00027,too low
2023-04-07 20:31:00,147800.93171611693,92918.57509164716,202945.34853001757,77898.5302,too low
2023-04-07 20:33:00,118689.67524345478,65297.31993135729,174881.8592008403,54638.36667,too low
2023-04-08 10:11:00,170206.82742623927,114703.58619077748,222456.08696493015,224532.5578,too high
2023-04-08 10:27:00,203088.7474082667,152591.69240612272,259769.21155092897,264682.9069,too high
2023-04-08 10:35:00,220667.1142379432,166019.42212947752,270497.5443118498,290075.5333,too high
2023-04-08 10:37:00,223457.60079217397,169437.70466361847,277659.57171698794,320489.6833,too high
2023-04-08 10:51:00,228657.53558659783,174346.54229612357,281276.3962355677,283805.0492,too high
2023-04-08 11:11:00,245449.6288144476,189461.82251732348,302122.8793413147,302949.2582,too high
2023-04-08 11:33:00,249170.20237547503,196678.49454872656,303525.0707410686,310883.5833,too high
2023-04-08 11:45:00,251130.26644800685,196929.7598012624,307781.1531222074,192052.8938,too low
2023-04-08 12:45:00,180007.36236271771,126797.843921376,232780.3531398533,232999.7666,too high
2023-04-08 13:15:00,162578.80587342547,108366.55251889909,216600.33453236896,229121.1667,too high
2023-04-08 14:17:00,216115.0808376021,163882.66266390827,269121.34213033755,152458.048,too low
2023-04-08 14:47:00,240607.86101047328,189100.27833570167,291819.4813299512,170719.6687,too low
2023-04-08 15:31:00,232020.07158819796,177442.61050502522,287281.62775644776,289834.1277,too high
2023-04-08 16:07:00,224299.6766840417,168989.9150600833,275882.98393145355,289014.571,too high
2023-04-08 16:13:00,215081.05188844385,159545.35751879553,268971.1309933852,287061.6615,too high
2023-04-08 17:03:00,205059.259282614,150843.57372166205,258083.47472915356,259992.9177,too high
2023-04-08 17:15:00,201151.4375922417,145311.31069125346,255063.20525487745,266126.1458,too high
2023-04-08 17:23:00,191214.10605669767,137008.65066178536,242309.26123447675,248196.5432,too high
2023-04-08 17:27:00,187123.8838930428,137194.49354894637,242053.3513605068,265126.0646,too high
2023-04-08 17:55:00,161051.87203453548,105190.33300325094,218306.18105930707,219381.477,too high
2023-04-08 19:59:00,152151.68557900834,96727.24418566846,208811.29730631967,74529.86667,too low
2023-04-08 20:01:00,185341.4365323194,128157.19149159972,234795.60227640893,74800.88643,too low
2023-04-08 20:03:00,219232.72075021727,161571.10684726437,277320.07467250776,305866.1356,too high
2023-04-08 20:07:00,281079.1405008035,224274.1888983452,336557.31873140164,352868.7202,too high
2023-04-08 20:09:00,305126.68107426213,250097.38462454843,358746.69601676025,438171.3548,too high
2023-04-08 20:25:00,222721.50094243637,171138.35037417078,274174.5125694092,295745.5333,too high
2023-04-08 20:27:00,188008.61474668048,139167.27665870218,243096.4849424151,122714.1309,too low
2023-04-08 20:29:00,153492.50913568228,100690.31915890258,211930.41373896904,60884.36667,too low
2023-04-09 03:39:00,31753.711322784016,0.0,88947.42781433242,89428.77619,too high
2023-04-09 10:47:00,190767.8161127944,138220.4245331757,244149.30105172572,254045.8211,too high
2023-04-09 10:51:00,190567.02985124697,133475.5743647361,247126.31168065057,262490.0232,too high
2023-04-09 10:53:00,190806.37653572837,133364.59662508275,243112.1199615997,267976.7992,too high
2023-04-09 10:55:00,191413.74640670384,134701.15557623073,248850.78253477212,255087.6781,too high
2023-04-09 11:17:00,208673.1062622677,158159.44046937732,260318.7006117316,140674.2326,too low
2023-04-09 12:31:00,151852.68429621652,96967.40234087236,202500.53971144723,219651.05,too high
2023-04-09 13:11:00,140484.1146270153,87844.77976080711,194886.1792873168,204750.5208,too high
2023-04-09 13:49:00,173122.68012892053,120063.21499173027,227619.8527619169,233627.6833,too high
2023-04-09 14:41:00,217464.7268349413,159309.12573731763,270502.365892275,151173.1029,too low
2023-04-09 15:03:00,207776.4778356436,151746.0220175143,263082.02892555454,150202.2333,too low
2023-04-09 15:21:00,213273.7478112406,159009.1913628094,269970.00337779534,155781.8333,too low
2023-04-09 15:33:00,200297.6862520396,147034.20196639994,252687.5003324653,255558.3593,too high
2023-04-09 16:41:00,186301.524573844,129168.67710346608,242243.786797686,248517.9167,too high
2023-04-09 17:23:00,169193.83681370135,114898.94215222492,226730.0640071217,248116.8,too high
2023-04-09 18:03:00,137163.4510556688,80649.31455112157,189960.621866002,223974.0162,too high
2023-04-09 19:59:00,147852.75158225262,89317.29800671013,201050.13681249195,87171.06864,too low
2023-04-09 20:01:00,181197.909498368,120850.39765174026,235148.9306026463,88347.65801,too low
2023-04-09 20:03:00,215244.82791679623,160891.59656376403,270054.1223262615,346830.5582,too high
2023-04-09 20:05:00,247987.95786234207,192633.7574984967,304923.0913806362,399069.4667,too high
2023-04-09 20:23:00,253165.50363655025,193897.0762564442,306730.4092508561,353627.5167,too high
2023-04-09 20:25:00,220436.70883820893,166500.4259124495,272713.1437576277,396166.5083,too high
2023-04-09 20:27:00,185874.79952580863,131817.65660577835,241097.3238403014,59996.16667,too low
2023-04-09 20:29:00,151508.3943207921,94337.9312241326,206903.3820438504,72865.22304,too low
2023-04-09 20:31:00,119233.38621257967,60242.279682823486,173895.4318774716,52838.29582,too low
2023-04-10 09:49:00,281062.14062035154,230395.19586225407,337357.86002944,225568.2167,too low
