ds,yhat,yhat_lower,yhat_upper,raw_data,status
2023-04-06 21:31:00,6618183.920002683,4610189.888878537,8543798.481631944,6598090.2,normal
2023-04-06 21:33:00,6608830.0702209165,4597672.657565964,8621372.9092069,6414387.717,normal
2023-04-06 21:35:00,6611225.848447276,4448294.58590807,8805305.11558018,6325525.833,normal
2023-04-06 21:37:00,6624635.942285299,4713469.609418275,8657234.08393974,6670715.517,normal
2023-04-06 21:39:00,6647919.303089462,4685025.234999659,8546690.17614374,6735061.35,normal
2023-04-06 21:41:00,6679540.005534011,4475072.49999359,8689403.00292606,6332867.017,normal
2023-04-06 21:43:00,6717589.28482589,4887065.658445423,8731650.837029412,10827815.38,too high
2023-04-06 21:45:00,6759820.690709555,4823081.182771002,8757337.359314937,9549886.267,too high
2023-04-06 21:47:00,6803700.624861029,4869593.00798577,8657882.856168056,8236130.9,normal
2023-04-06 21:49:00,6846476.504649805,4902434.97386945,8899563.5795687,7179906.45,normal
2023-04-06 21:51:00,6885264.261564123,4644242.56625682,8852163.811302641,6231807.633,normal
2023-04-06 21:53:00,6917155.768985374,4946970.228721032,9004356.048751459,6426184.567,normal
2023-04-06 21:55:00,6939345.052031397,4824020.307531527,8961633.888854096,6403587.067,normal
2023-04-06 21:57:00,6949269.883220482,5004797.705096941,8975163.619531231,6108197.033,normal
2023-04-06 21:59:00,6944762.769520865,4837246.389339243,8989834.189138481,5676243.917,normal
2023-04-06 22:01:00,6924202.704104077,4786180.146208164,8844590.468458438,5903356.35,normal
2023-04-06 22:03:00,6886656.720769181,4811597.968341879,8906500.336713925,6282729.8,normal
2023-04-06 22:05:00,6831998.642586855,4733908.686297983,8843912.477745663,5839313.633,normal
2023-04-06 22:07:00,6760991.820237009,4727800.486797724,8758250.035560472,5948045.183,normal
2023-04-06 22:09:00,6675323.385415983,4687995.6954587065,8737929.918236658,6894109.333,normal
2023-04-06 22:11:00,6577579.7755091805,4600939.282462572,8522392.339567821,6032274.383,normal
2023-04-06 22:13:00,6471156.994815557,4472191.670216716,8618456.951059364,6267741.933,normal
2023-04-06 22:15:00,6360104.094664503,4435851.83993641,8363047.874590157,6775658.0,normal
2023-04-06 22:17:00,6248904.287854816,4042526.176023379,8225889.630842487,6093234.917,normal
2023-04-06 22:19:00,6142204.4416416185,4062590.731385328,8077636.296661593,6525403.6,normal
2023-04-06 22:21:00,6044509.749517657,4064230.7547478336,7870849.035564903,6044638.25,normal
2023-04-06 22:23:00,5959865.482189248,3949960.181852019,7992712.456654792,5292066.133,normal
2023-04-06 22:25:00,5891551.193521088,3830975.099753313,7845093.521149464,5725250.167,normal
2023-04-06 22:27:00,5841814.058187918,3860903.4264558335,7774872.166804774,5858074.15,normal
2023-04-06 22:29:00,5811666.773559369,3618854.754880507,7777894.285722767,5744732.533,normal
2023-04-06 22:31:00,5800771.592155114,3813083.686675702,7656042.890853493,5224695.017,normal
2023-04-06 22:33:00,5807425.702002524,3755745.7905395087,7866743.220556888,5708216.483,normal
2023-04-06 22:35:00,5828654.840992807,3763047.572976383,7915202.362742297,4732083.967,normal
2023-04-06 22:37:00,5860412.415282218,3938721.5500223218,7912753.981478122,6217328.483,normal
2023-04-06 22:39:00,5897871.425112947,3869882.765216088,7648432.345431933,6472516.817,normal
2023-04-06 22:41:00,5935787.199745937,3983625.5514556007,8043082.686885383,5520214.4,normal
2023-04-06 22:43:00,5968901.305813576,4016024.9340520888,7928083.861088528,10349394.15,too high
2023-04-06 22:45:00,5992351.950907107,4018262.209230608,7915456.883553631,9306733.467,too high
2023-04-06 22:47:00,6002054.366572867,3986746.2974732025,8106124.444495716,7469949.85,normal
2023-04-06 22:49:00,5995016.427094609,3944400.2562925545,8029449.75907445,7024134.983,normal
2023-04-06 22:51:00,5969560.075901468,3844119.901205513,7942627.471517577,5706899.2,normal
2023-04-06 22:53:00,5925427.602149872,3930909.305494468,8070417.012989875,6013904.733,normal
2023-04-06 22:55:00,5863762.6516440455,3840396.858672541,7978659.017729827,4927018.683,normal
2023-04-06 22:57:00,5786968.008142659,3662648.9360083295,7847495.227310207,5832525.817,normal
2023-04-06 22:59:00,5698454.400533464,3670224.191172301,7600279.945232467,5781625.617,normal
2023-04-06 23:01:00,5602305.564347514,3561681.2170209927,7476474.382001906,5223060.917,normal
2023-04-06 23:03:00,5502893.32504835,3607381.4964397713,7353739.44776083,5060536.417,normal
2023-04-06 23:05:00,5404481.574523245,3474473.985899302,7390452.513070661,5279748.317,normal
2023-04-06 23:07:00,5310859.084497664,3223535.964867167,7290339.372133234,4543279.233,normal
2023-04-06 23:09:00,5225037.892014588,3137546.302495414,7265580.622234919,5855598.65,normal
2023-04-06 23:11:00,5149046.832294235,3321909.4867765256,7191721.688460319,5315383.883,normal
2023-04-06 23:13:00,5083839.347359236,3049808.653798004,7039778.747075456,4708585.183,normal
2023-04-06 23:15:00,5029322.0953811575,3020411.893830946,7136069.33931346,4606614.483,normal
2023-04-06 23:17:00,4984497.478608455,2848708.920235367,7204615.037315066,4763975.133,normal
2023-04-06 23:19:00,4947700.493288609,2960558.093517614,6912729.9999244325,5244477.667,normal
2023-04-06 23:21:00,4916899.721353972,2977897.5199077865,6842001.068381975,5069664.6,normal
2023-04-06 23:23:00,4890025.051320205,2877091.0777147785,6891225.340878178,5093526.183,normal
2023-04-06 23:25:00,4865281.736051967,2841589.396482825,6810842.628092569,4753740.283,normal
2023-04-06 23:27:00,4841412.032024911,2769746.7775708674,6746710.257891323,5442592.667,normal
2023-04-06 23:29:00,4817871.8519934565,2760019.8995687086,6749885.606960272,5102758.383,normal
2023-04-06 23:31:00,4794899.926097012,2752496.2124658283,6925482.915102767,5080237.6,normal
2023-04-06 23:33:00,4773469.826344803,2709169.44073034,6697437.238042426,5197713.05,normal
2023-04-06 23:35:00,4755129.421166586,2646867.435986775,6734753.531750331,4858470.217,normal
2023-04-06 23:37:00,4741746.25715407,2814324.4271593634,6889483.397480746,5388604.117,normal
2023-04-06 23:39:00,4735189.393523945,2766861.432214681,6623997.039631209,4415238.633,normal
2023-04-06 23:41:00,4736986.874413172,2836717.4422251973,6862074.929810082,3647128.033,normal
2023-04-06 23:43:00,4748002.254587141,2812496.253549716,6873601.095641889,8510825.9,too high
2023-04-06 23:45:00,4768172.766720002,2685404.9362169243,6827950.368045629,7430178.967,too high
2023-04-06 23:47:00,4796345.827191084,2925903.532694048,6823334.203930882,5714589.971,normal
2023-04-06 23:49:00,4830240.161327248,2761203.265431284,6816761.140309622,4912943.7,normal
2023-04-06 23:51:00,4866544.002980266,3081747.1675626766,6764180.101642337,3723218.817,normal
2023-04-06 23:53:00,4901147.073933701,2965837.058293406,6924641.991644834,3920026.25,normal
2023-04-06 23:55:00,4929487.176974451,2924176.12276274,6959678.182120375,3883026.067,normal
2023-04-06 23:57:00,4946978.046582497,2878484.0357262394,6882792.645277893,4793947.65,normal
2023-04-06 23:59:00,4949474.285875053,3088596.3043520697,6863649.185096124,5090427.9,normal
